Feature,Importance
OverallQual,0.16740973
GarageCars,0.1583298
ExterQual_TA,0.0843858
GarageFinish_Unf,0.06401046
FullBath,0.03109753
GrLivArea,0.030478282
KitchenQual_TA,0.029456386
RoofMatl_CompShg,0.028703654
LowQualFinSF,0.024401808
BsmtQual_TA,0.021371212
Exterior2nd_CmentBd,0.018726021
Fireplaces,0.015299925
TotalBsmtSF,0.0142498
TotRmsAbvGrd,0.01416723
1stFlrSF,0.014008658
Exterior1st_CemntBd,0.013243719
YearBuilt,0.012379419
CentralAir_Y,0.011887026
BsmtFinSF1,0.01055097
2ndFlrSF,0.009251515
BsmtFinType1_GLQ,0.0080705965
KitchenAbvGr,0.007997068
GarageArea,0.007820922
PoolQC_Gd,0.007675864
LotShape_Reg,0.0073072445
Neighborhood_Edwards,0.0069519845
YearRemodAdd,0.0064162626
LandContour_Lvl,0.006397948
Neighborhood_NoRidge,0.006288987
MSZoning_RM,0.0061421623
MSZoning_RL,0.005987183
KitchenQual_Gd,0.0059660207
LotArea,0.00505565
OpenPorchSF,0.005023958
GarageType_Detchd,0.004799897
GarageYrBlt,0.004633686
GarageType_Attchd,0.004621523
SaleType_New,0.004409331
GarageType_BuiltIn,0.0044080545
BsmtQual_Gd,0.003763334
PoolArea,0.0034797583
Exterior2nd_VinylSd,0.0034002294
ScreenPorch,0.003142479
LotFrontage,0.0030629907
BsmtExposure_No,0.0029202863
OverallCond,0.0025838353
SaleCondition_Partial,0.0025715367
Neighborhood_Crawfor,0.0024885647
BsmtFullBath,0.002420862
Neighborhood_Sawyer,0.0021273885
SaleType_WD,0.0021231512
EnclosedPorch,0.002116206
BsmtExposure_Gd,0.002115202
Neighborhood_OldTown,0.0020608264
GarageFinish_RFn,0.0019674727
HalfBath,0.0018612335
Exterior1st_BrkFace,0.001845269
BsmtFinSF2,0.001770944
MasVnrArea,0.0017593987
Exterior2nd_Wd Sdng,0.0016903835
Exterior1st_Wd Sdng,0.001638986
Functional_Typ,0.0015503448
LandContour_HLS,0.0015375381
Neighborhood_ClearCr,0.0014893381
BedroomAbvGr,0.0014548496
WoodDeckSF,0.0013923226
Heating_GasA,0.00137167
MSSubClass,0.0013608121
Neighborhood_StoneBr,0.0013350212
Condition1_Norm,0.0013215307
Neighborhood_NridgHt,0.0012029323
LotShape_IR2,0.0012025898
LotConfig_CulDSac,0.0011843654
Neighborhood_NAmes,0.0011578158
Neighborhood_NWAmes,0.0011500894
SaleCondition_Family,0.0011488847
FireplaceQu_Gd,0.0011213064
HeatingQC_Fa,0.0011056073
Exterior2nd_MetalSd,0.0010434707
Condition1_Feedr,0.0009993762
MSZoning_FV,0.0009918172
Fence_GdWo,0.0009787974
Functional_Min1,0.00096600567
Neighborhood_Mitchel,0.0009377884
MSZoning_RH,0.0009220067
SaleCondition_Normal,0.0009191487
BsmtHalfBath,0.00089773705
Exterior1st_HdBoard,0.0008946144
3SsnPorch,0.0008575158
Exterior1st_MetalSd,0.000849209
Exterior1st_Plywood,0.00084201177
BsmtUnfSF,0.0008295504
MoSold,0.0007803632
Exterior1st_Stucco,0.0007609403
GarageType_CarPort,0.0007495807
HouseStyle_2Story,0.0007491654
LandSlope_Mod,0.00073005323
Neighborhood_BrkSide,0.0006702558
BsmtFinType1_BLQ,0.0006698269
Neighborhood_Somerst,0.00066548766
SaleCondition_Alloca,0.00066517654
LotConfig_FR2,0.00065787154
YrSold,0.0006501643
Condition1_PosN,0.0006448223
ExterQual_Gd,0.00063156476
Neighborhood_Timber,0.0006293874
Exterior2nd_Plywood,0.00060979126
Foundation_CBlock,0.0006061909
MasVnrType_BrkFace,0.0006001996
Condition1_RRAe,0.00057797914
PavedDrive_P,0.0005770916
Foundation_PConc,0.0005332314
Id,0.00052931585
RoofStyle_Gable,0.0005096214
Exterior1st_VinylSd,0.0004964406
BsmtCond_TA,0.0004867208
Fence_MnPrv,0.0004857113
RoofStyle_Gambrel,0.000466666
GarageType_Basment,0.00046410487
BsmtCond_Gd,0.000420434
HouseStyle_2.5Unf,0.0004189754
Alley_Pave,0.00041018619
FireplaceQu_TA,0.00040316064
PavedDrive_Y,0.00040288916
LotShape_IR3,0.00039913625
BsmtFinType1_Rec,0.00038889918
LotConfig_Inside,0.00034820955
BsmtFinType1_Unf,0.0003478629
Functional_Mod,0.000347309
Neighborhood_Veenker,0.00032124313
HeatingQC_Gd,0.00030625466
Exterior1st_BrkComm,0.00029793373
Functional_Min2,0.00027960434
Foundation_Wood,0.00027743712
HeatingQC_TA,0.00024570833
ExterCond_TA,0.00023479904
ExterCond_Gd,0.00013973781
BsmtExposure_Mn,7.9482634e-05
Exterior2nd_HdBoard,2.3331218e-05
RoofMatl_Roll,0.0
RoofMatl_Tar&Grv,0.0
HouseStyle_2.5Fin,0.0
HouseStyle_SLvl,0.0
HouseStyle_SFoyer,0.0
RoofMatl_Metal,0.0
RoofMatl_Membran,0.0
RoofStyle_Shed,0.0
RoofStyle_Mansard,0.0
RoofStyle_Hip,0.0
Neighborhood_CollgCr,0.0
Neighborhood_BrDale,0.0
LandSlope_Sev,0.0
Neighborhood_NPkVill,0.0
Neighborhood_MeadowV,0.0
Neighborhood_Gilbert,0.0
Utilities_NoSeWa,0.0
LotConfig_FR3,0.0
Street_Pave,0.0
LandContour_Low,0.0
MiscVal,0.0
BldgType_Duplex,0.0
BldgType_Twnhs,0.0
BldgType_TwnhsE,0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,0.0
Condition2_RRAe,0.0
Condition2_PosN,0.0
Condition2_PosA,0.0
Condition2_Norm,0.0
Condition2_Feedr,0.0
BldgType_2fmCon,0.0
Condition2_RRNn,0.0
Condition2_RRAn,0.0
Condition1_RRNe,0.0
Condition1_RRNn,0.0
Condition1_RRAn,0.0
Neighborhood_IDOTRR,0.0
Neighborhood_Blueste,0.0
Neighborhood_SWISU,0.0
Neighborhood_SawyerW,0.0
Condition1_PosA,0.0
RoofMatl_WdShake,0.0
BsmtFinType2_Unf,0.0
BsmtFinType2_LwQ,0.0
BsmtFinType2_GLQ,0.0
BsmtFinType2_BLQ,0.0
BsmtFinType2_Rec,0.0
BsmtCond_Po,0.0
BsmtQual_Fa,0.0
ExterCond_Po,0.0
Foundation_Slab,0.0
ExterQual_Fa,0.0
ExterCond_Fa,0.0
Foundation_Stone,0.0
BsmtFinType1_LwQ,0.0
Exterior2nd_Wd Shng,0.0
MasVnrType_Stone,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_WdShing,0.0
Exterior1st_Stone,0.0
Exterior1st_ImStucc,0.0
RoofMatl_WdShngl,0.0
Exterior1st_AsphShn,0.0
Exterior1st_CBlock,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_Other,0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_Stone,0.0
Electrical_SBrkr,0.0
KitchenQual_Fa,0.0
FireplaceQu_Po,0.0
Functional_Maj2,0.0
Functional_Sev,0.0
FireplaceQu_Fa,0.0
Electrical_Mix,0.0
Electrical_FuseP,0.0
Heating_Wall,0.0
Heating_GasW,0.0
HeatingQC_Po,0.0
Heating_Grav,0.0
Heating_OthW,0.0
Electrical_FuseF,0.0
GarageCond_Po,0.0
GarageCond_Gd,0.0
GarageQual_Gd,0.0
GarageQual_Fa,0.0
Fence_MnWw,0.0
PoolQC_Fa,0.0
GarageCond_TA,0.0
GarageQual_Po,0.0
GarageQual_TA,0.0
GarageCond_Fa,0.0
MiscFeature_Othr,0.0
MiscFeature_Shed,0.0
SaleType_ConLw,0.0
SaleType_ConLI,0.0
SaleType_ConLD,0.0
SaleType_Con,0.0
SaleType_CWD,0.0
MiscFeature_TenC,0.0
SaleCondition_AdjLand,0.0
SaleType_Oth,0.0
